facility_type,visit_date,avg_time_spent
Specialty Center,2026-03-18,44.33
Clinic,2026-03-14,45.75
Specialty Center,2026-03-19,36.5
Hospital,2026-03-13,38.75
Specialty Center,2026-03-15,26.0
Hospital,2026-03-16,39.5
Specialty Center,2026-03-17,46.5
Clinic,2026-03-19,52.0
Specialty Center,2026-03-16,33.25
Clinic,2026-03-18,34.5
Hospital,2026-03-19,39.33
Specialty Center,2026-03-14,33.0
Hospital,2026-03-17,39.67
Clinic,2026-03-15,44.5
Hospital,2026-03-15,41.0
Specialty Center,2026-03-13,34.33
Hospital,2026-03-18,42.25
Clinic,2026-03-17,38.0
Hospital,2026-03-14,38.0
